City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,vredendal,-31.6683,18.5012,13.68,78,0,1.33,ZA,Jun 24 2023
225,badagry,6.4167,2.8833,24.71,87,96,4.89,NG,Jun 24 2023
226,crane,31.3974,-102.3501,42.51,9,1,3.14,US,Jun 24 2023
227,san jose de jachal,-30.2406,-68.7469,25.4,14,0,2.57,AR,Jun 24 2023
228,hermanus,-34.4187,19.2345,13.22,88,100,7.24,ZA,Jun 24 2023
229,bria,6.5423,21.9863,21.06,97,100,0.39,CF,Jun 24 2023
230,springbok,-29.6643,17.8865,11.32,57,0,0.93,ZA,Jun 24 2023
231,codrington,-38.2667,141.9667,9.51,88,97,8.11,AU,Jun 24 2023
232,uba,-21.12,-42.9428,19.27,61,100,2.27,BR,Jun 24 2023
233,bairnsdale,-37.8333,147.6167,4.47,85,25,2.82,AU,Jun 24 2023
234,an nuhud,12.7,28.4333,31.31,40,19,2.77,SD,Jun 24 2023
235,zhaoqing,23.0512,112.4597,27.68,96,100,1.08,CN,Jun 24 2023
236,vikhorevka,56.1201,101.1636,8.77,92,0,0.91,RU,Jun 24 2023
237,nizhnyaya poyma,56.1622,97.1933,8.76,87,84,2.11,RU,Jun 24 2023
238,tostado,-29.232,-61.7692,28.32,55,0,1.61,AR,Jun 24 2023
239,taseyevo,57.2169,94.8978,9.62,83,98,1.84,RU,Jun 24 2023
240,buka,40.8108,69.1986,20.77,20,0,2.54,UZ,Jun 24 2023
241,newman,37.3138,-121.0208,28.92,23,6,1.5,US,Jun 24 2023
242,akureyri,65.6835,-18.0878,14.96,72,40,5.14,IS,Jun 24 2023
243,birao,10.2849,22.7882,24.99,75,25,2.32,CF,Jun 24 2023
244,sault ste. marie,46.5168,-84.3333,28.16,58,0,5.14,CA,Jun 24 2023
245,gizo,-8.103,156.8419,27.64,83,100,9.72,SB,Jun 24 2023
246,mejit,10.2753,170.8646,28.23,78,61,8.28,MH,Jun 24 2023
247,cova figueira,14.8905,-24.2934,22.59,76,4,7.15,CV,Jun 24 2023
248,miramichi,47.0043,-65.4654,27.98,62,96,6.7,CA,Jun 24 2023
249,chonchi,-42.6128,-73.8092,11.18,85,35,1.34,CL,Jun 24 2023
250,lauro de freitas,-12.8944,-38.3272,27.01,69,40,3.6,BR,Jun 24 2023
251,aragarcas,-15.8975,-52.2508,31.36,40,0,0.0,BR,Jun 24 2023
252,enshi,30.3,109.4833,19.65,96,56,0.68,CN,Jun 24 2023
253,kiunga,-6.1219,141.2906,23.03,98,100,1.2,PG,Jun 24 2023
254,nemuro,43.3236,145.575,10.44,96,95,1.88,JP,Jun 24 2023
255,lerwick,60.1545,-1.1494,14.0,98,98,3.59,GB,Jun 24 2023
256,port saint john's,-31.6229,29.5448,16.31,83,24,1.98,ZA,Jun 24 2023
257,olinda,-8.0089,-34.8553,26.85,69,40,4.63,BR,Jun 24 2023
258,kupang,-10.1667,123.5833,23.69,88,13,3.25,ID,Jun 24 2023
259,machali,-34.1833,-70.6667,16.6,82,100,2.06,CL,Jun 24 2023
260,tucupita,9.0622,-62.051,28.43,75,79,2.97,VE,Jun 24 2023
261,bandarbeyla,9.4942,50.8122,24.19,84,100,12.87,SO,Jun 24 2023
262,tadine,-21.55,167.8833,21.34,65,23,5.5,NC,Jun 24 2023
263,macia,-25.0269,33.0989,16.24,72,0,2.57,MZ,Jun 24 2023
264,hassi messaoud,31.6804,6.0729,35.92,11,0,2.06,DZ,Jun 24 2023
265,naracoorte,-36.9579,140.7383,11.07,84,100,10.99,AU,Jun 24 2023
266,vostochnyy,55.8167,37.8667,14.35,87,5,1.16,RU,Jun 24 2023
267,lethem,3.3803,-59.7968,29.52,70,67,1.7,GY,Jun 24 2023
268,pozos de gamboa,22.95,-102.5667,29.56,24,0,8.15,MX,Jun 24 2023
269,souk ahras,36.2864,7.9511,20.2,62,2,1.62,DZ,Jun 24 2023
270,coronel oviedo,-25.4167,-56.45,23.77,57,0,2.55,PY,Jun 24 2023
271,dudinka,69.4058,86.1778,8.68,91,100,3.1,RU,Jun 24 2023
272,suncho corral,-27.9336,-63.4294,26.91,52,0,2.02,AR,Jun 24 2023
273,nuku'alofa,-21.1333,-175.2,23.19,73,20,3.6,TO,Jun 24 2023
274,yerofey pavlovich,53.9667,121.9667,11.74,82,73,2.06,RU,Jun 24 2023
275,pokrovsk,48.282,37.1758,18.63,97,100,2.34,UA,Jun 24 2023
276,gadzhiyevo,69.2551,33.3362,12.09,75,99,3.61,RU,Jun 24 2023
277,margate,51.3813,1.3862,20.39,71,0,3.37,GB,Jun 24 2023
278,vila velha,-20.3297,-40.2925,23.97,82,75,3.6,BR,Jun 24 2023
279,sabang,5.8933,95.3214,28.0,73,95,3.66,ID,Jun 24 2023
280,san patricio,28.017,-97.5169,38.42,47,5,7.87,US,Jun 24 2023
281,vorgashor,67.5833,63.95,3.51,79,1,2.91,RU,Jun 24 2023
282,nueve de julio,-35.4444,-60.8831,13.87,88,100,4.02,AR,Jun 24 2023
283,songjianghe,42.1859,127.479,17.14,88,70,2.46,CN,Jun 24 2023
284,peace river,56.2501,-117.286,28.17,39,40,4.63,CA,Jun 24 2023
285,tazacorte,28.629,-17.9293,22.54,87,40,8.23,ES,Jun 24 2023
286,klyuchi,52.2667,79.1667,12.15,48,100,1.82,RU,Jun 24 2023
287,taksimo,56.3444,114.8794,16.25,93,100,1.35,RU,Jun 24 2023
288,punta arenas,-53.15,-70.9167,3.06,87,75,3.6,CL,Jun 24 2023
289,remire-montjoly,4.9167,-52.2667,28.02,78,100,3.09,GF,Jun 24 2023
290,plastun,44.7561,136.2939,17.22,76,49,0.79,RU,Jun 24 2023
291,kerikeri,-35.2268,173.9474,12.73,96,100,0.89,NZ,Jun 24 2023
292,dungarvan,52.0881,-7.6253,17.52,100,46,3.13,IE,Jun 24 2023
293,bolivar,37.6145,-93.4105,33.48,58,1,0.45,US,Jun 24 2023
294,happy valley-goose bay,53.3168,-60.3315,13.17,82,100,1.03,CA,Jun 24 2023
295,chietla,18.5167,-98.5833,36.14,17,100,2.45,MX,Jun 24 2023
296,eichstatt,48.8833,11.1833,17.23,68,20,1.03,DE,Jun 24 2023
297,bereket,39.2446,55.5154,27.05,43,100,4.92,TM,Jun 24 2023
298,san antonio,29.4241,-98.4936,40.03,39,0,5.14,US,Jun 24 2023
299,kuandian,40.7286,124.7847,16.71,92,6,0.68,CN,Jun 24 2023
300,una,20.8167,71.0333,28.44,77,98,5.5,IN,Jun 24 2023
301,saint-philippe,-21.3585,55.7679,18.77,80,89,6.92,RE,Jun 24 2023
302,champerico,14.3,-91.9167,33.3,65,99,3.98,GT,Jun 24 2023
303,rio gallegos,-51.6226,-69.2181,4.03,87,75,6.69,AR,Jun 24 2023
304,ciudad lazaro cardenas,17.9583,-102.2,30.85,63,86,5.15,MX,Jun 24 2023
305,tranqueras,-31.2,-55.75,21.0,84,36,2.55,UY,Jun 24 2023
306,roma,43.2128,-75.4557,24.93,87,75,3.6,US,Jun 24 2023
307,neftegorsk,52.802,51.166,13.75,69,100,6.27,RU,Jun 24 2023
308,weiser,44.251,-116.9693,29.06,30,33,0.45,US,Jun 24 2023
309,ouani,-12.1322,44.4258,25.21,69,10,6.49,KM,Jun 24 2023
310,flin flon,54.7682,-101.865,27.91,30,40,6.69,CA,Jun 24 2023
311,puerto san jose,13.9256,-90.8244,30.16,65,100,3.31,GT,Jun 24 2023
312,gonen,40.1049,27.654,19.96,68,0,1.26,TR,Jun 24 2023
313,orapa,-21.2833,25.3667,13.58,47,0,3.74,BW,Jun 24 2023
314,fonte boa,-2.4959,-66.2662,27.3,87,87,1.23,BR,Jun 24 2023
315,chibougamau,49.9168,-74.3659,22.79,43,100,4.63,CA,Jun 24 2023
316,kutoarjo,-7.7169,109.9128,23.71,91,85,0.68,ID,Jun 24 2023
317,arar,30.9753,41.0381,32.01,11,0,3.6,SA,Jun 24 2023
318,nguigmi,14.2495,13.1092,28.97,54,15,3.13,NE,Jun 24 2023
319,mogok,22.9167,96.5,19.04,98,100,1.16,MM,Jun 24 2023
320,kitimat,54.0524,-128.6534,24.21,63,0,4.47,CA,Jun 24 2023
321,masterton,-40.9597,175.6575,12.02,91,100,3.16,NZ,Jun 24 2023
322,nytva,57.9404,55.334,11.94,95,96,0.93,RU,Jun 24 2023
323,bowling green,36.9903,-86.4436,32.96,31,40,2.95,US,Jun 24 2023
324,howrah,22.5892,88.3103,28.0,94,75,1.54,IN,Jun 24 2023
325,neryungri,56.6709,124.6491,12.88,75,5,0.88,RU,Jun 24 2023
326,el hadjira,32.6134,5.5126,35.09,14,0,2.14,DZ,Jun 24 2023
327,meulaboh,4.1363,96.1285,24.74,92,99,2.63,ID,Jun 24 2023
328,nurabad,34.0734,47.9725,19.33,25,0,2.69,IR,Jun 24 2023
329,alta,69.9689,23.2717,15.59,76,0,8.23,NO,Jun 24 2023
